class_name,category,target_model,dataset_available,suggested_source,custom_data_required,source_context
Cotton,crop,crop_classifier,Partial,PlantDoc; Roboflow; Open Images,Yes,Maharashtra crop table
Soybean,crop,crop_classifier,Partial,PlantDoc; Roboflow; Open Images,Yes,Maharashtra crop table
Sugarcane,crop,crop_classifier,Partial,PlantDoc; Roboflow; Open Images,Yes,Maharashtra crop table
Paddy (Rice),crop,crop_classifier,Partial,PlantDoc; Roboflow; Open Images,Yes,Maharashtra crop table
Wheat,crop,crop_classifier,Partial,PlantDoc; Roboflow; Open Images,Yes,Maharashtra crop table
Jowar (Sorghum),crop,crop_classifier,Partial,Roboflow; Open Images,Yes,Maharashtra crop table
Bajra (Pearl Millet),crop,crop_classifier,Partial,Roboflow; Open Images,Yes,Maharashtra crop table
Maize,crop,crop_classifier,Partial,PlantDoc; Roboflow; Open Images,Yes,Maharashtra crop table
Tur (Pigeon Pea),crop,crop_classifier,Partial,Roboflow; Open Images,Yes,Maharashtra crop table
Gram (Chickpea),crop,crop_classifier,Partial,PlantDoc; Roboflow; Open Images,Yes,Maharashtra crop table
Green Gram (Moong),crop,crop_classifier,Partial,Roboflow; Open Images,Yes,Maharashtra crop table
Groundnut,crop,crop_classifier,Partial,PlantDoc; Roboflow; Open Images,Yes,Maharashtra crop table
Sunflower,crop,crop_classifier,Partial,Roboflow; Open Images,Yes,Maharashtra crop table
Grapes,crop,crop_classifier,Partial,PlantDoc; Roboflow; Open Images,Yes,Maharashtra crop table
Pomegranate,crop,crop_classifier,Partial,PlantDoc; Roboflow; Open Images,Yes,Maharashtra crop table
Mango,crop,crop_classifier,Partial,PlantDoc; Roboflow; Open Images,Yes,Maharashtra crop table
Banana,crop,crop_classifier,Partial,PlantDoc; Roboflow; Open Images,Yes,Maharashtra crop table
Citrus,crop,crop_classifier,Partial,PlantDoc; Roboflow; Open Images,Yes,Maharashtra crop table
Tomato,crop,crop_classifier,Partial,PlantVillage; PlantDoc; Roboflow,Yes,Maharashtra crop table
Chilli,crop,crop_classifier,Partial,PlantDoc; Roboflow; Open Images,Yes,Maharashtra crop table
Onion,crop,crop_classifier,Partial,PlantDoc; Roboflow; Open Images,Yes,Maharashtra crop table
Potato,crop,crop_classifier,Partial,PlantVillage; PlantDoc; Roboflow,Yes,Maharashtra crop table
Brinjal,crop,crop_classifier,Partial,PlantDoc; Roboflow; Open Images,Yes,Maharashtra crop table
Okra,crop,crop_classifier,Partial,PlantDoc; Roboflow; Open Images,Yes,Maharashtra crop table
Cabbage,crop,crop_classifier,Partial,PlantVillage; PlantDoc; Roboflow,Yes,Maharashtra crop table
Coconut,crop,crop_classifier,Partial,Roboflow; Open Images,Yes,Maharashtra crop table
Arecanut,crop,crop_classifier,Partial,Roboflow; Open Images,Yes,Maharashtra crop table
Turmeric,crop,crop_classifier,Partial,Roboflow; Open Images,Yes,Maharashtra crop table
Ginger,crop,crop_classifier,Partial,Roboflow; Open Images,Yes,Maharashtra crop table
Rose,crop,crop_classifier,Partial,PlantDoc; Roboflow; Open Images,Yes,Maharashtra crop table
Pink Bollworm,pest,pest_detector,Partial,IP102; Roboflow; iNaturalist,Yes,Maharashtra pest table
